wikidata_id,name,instance_of,country
Q5061702,Central Presbyterian Church,church,United States of America
Q5160716,Congregational Church,church,United States of America
Q5430276,Fairfield Dutch Reformed Church,church,United States of America
Q5452491,First Baptist Peddie Memorial Church,church,United States of America
Q5453304,First Methodist Episcopal Church,church,United States of America
Q14705626,House of Prayer Episcopal Church and Rectory,church,United States of America
Q7011014,New Point Baptist Church,church,United States of America
Q7056471,North Reformed Church,church,United States of America
Q7129593,Pan American C.M.A. Church,church,United States of America
Q7270575,Queen of Angels Church,church,United States of America
Q7443496,Second Reformed Dutch Church,church,United States of America
Q7568158,South Park Calvary United Presbyterian Church,church,United States of America
Q7587390,St. Casimir's Roman Catholic Church,church,United States of America
Q7587651,"St. Columba's Church, Newark",church,United States of America
Q7588387,St. James' A. M. E. Church,church,United States of America
Q7588632,St. John's Church,church,United States of America
Q7589218,St. Joseph's Roman Catholic Church Rectory and School,church,United States of America
Q7589744,St. Lucy's Church,church,United States of America
Q7589765,St. Luke's Church,church,United States of America
Q7589953,St. Mark's Episcopal Church,church,United States of America
Q7590064,St. Mary's Abbey Church,church,United States of America
Q7591613,St. Rocco's Roman Catholic Church,church,United States of America
Q7591724,St. Stephan's Church,church,United States of America
Q7698428,Temple B'Nai Abraham,church,United States of America
Q7842544,Trinity & St. Philip's Cathedral,cathedral,United States of America
Q7998423,Wickliffe Presbyterian Church,church,United States of America
Q14705762,"Moravian Church (Oliphant's Mill, New Jersey)",church,United States of America
Q6924753,Mount Zion African Methodist Episcopal Church and Mount Zion Cemetery,church,United States of America
Q7331133,Richwood Methodist Church,church,United States of America
Q7591360,St. Peter's Episcopal Church,church,United States of America
Q7591950,St. Thomas Episcopal Church,church,United States of America
Q7842670,Trinity Church,church,United States of America
Q7898670,Upper Greenwich Friends Meetinghouse,place of worship,United States of America
Q8032473,Woodbury Friends' Meetinghouse,place of worship,United States of America
Q5117911,Church of the Holy Innocents,church,United States of America
Q5452397,First Baptist Church,church,United States of America
Q7587110,St. Anthony of Padua Roman Catholic Church,church,United States of America
Q7590972,St. Patrick's Parish and Buildings,church,United States of America
Q5754967,High Bridge Reformed Church,church,United States of America
Q6665859,Locktown Baptist Church,church,United States of America
Q6923435,Mount Salem Methodist Episcopal Church,church,United States of America
Q7268558,Quaker Meeting,historic district in the United States,United States of America
Q7591953,St. Thomas Episcopal Church,church,United States of America
Q5453666,First Presbyterian Church and Cemetery,church,United States of America
Q14705827,Old School Baptist Church and Cemetery,church,United States of America
Q7402088,Saint Peter the Apostle Church,church,United States of America
Q7521153,Simpson United Methodist Church,church,United States of America
Q7590212,St. Mary's Church,church,United States of America
Q7591374,St. Peter's Episcopal Church,church,United States of America
Q7591474,St. Peters Church and Buildings,church,United States of America
Q7842785,Trinity Episcopal Church,church,United States of America
Q7591598,St. Remy's Catholic Church,construction,United States of America
Q5046605,Carroll Park Methodist Episcopal Church,church,United States of America
Q14707148,Our Lady of Vilnius Church (New York City),church,United States of America
Q8039268,Wunsch Building,church,United States of America
Q5118050,Church of the Sacred Hearts of Mary and Jesus,church,United States of America
Q5118049,Church of the Sacred Hearts of Jesus and Mary,church,United States of America
Q5116987,Church of Our Lady of the Scapular of Mount Carmel,church,United States of America
Q5118048,Church of the Sacred Heart of Jesus,church,United States of America
Q7087127,Olive Baptist Church,church,United States of America
Q7402421,Saints Peter and Paul Catholic Church,construction,United States of America
Q7590553,St. Mary of the Visitation Catholic Church,church,United States of America
Q5108744,"Christ Church (Episcopal), Shrewsbury",church,United States of America
Q5127600,Clarksburg Methodist Episcopal Church,church,United States of America
Q5453707,First Presbyterian Church of Rumson,church,United States of America
Q5455166,Fisk Chapel,church,United States of America
Q5883303,Holmdel Dutch Reformed Church,church,United States of America
Q5886725,Holy Trinity Episcopal Church,church,United States of America
Q6747005,Manasquan Friends Meetinghouse and Burying Ground,church,United States of America
Q7588085,St. George's-by-the-River Episcopal Church,church,United States of America
Q7588514,St. James Memorial Church of Eatontown,church,United States of America
Q7588696,St. John's Episcopal Church,church,United States of America
Q7591362,St. Peter's Episcopal Church,church,United States of America
Q7898653,Upper Freehold Baptist Meeting,church,United States of America
Q7898779,Upper Meeting House of the Baptist Church of Middletown,church,United States of America
Q5452791,First Congregational Church,church,United States of America
Q5504188,Friends Meetinghouse,place of worship,United States of America
Q6823785,Methodist Episcopal Church,church,United States of America
Q6920813,Mount Freedom Presbyterian Church,church,United States of America
Q14705832,Our Lady of Mercy Chapel,chapel,United States of America
Q7140032,Parsonage of the Montville Reformed Dutch Church,building,United States of America
Q7354962,Rockaway Valley Methodist Church,church,United States of America
Q6649890,Little Egg Harbor Friends Meeting House,building,United States of America
Q6746756,Manahawkin Baptist Church,church,United States of America
Q7102282,Orient Baptist Church,church,United States of America
Q5052400,Cathedral of St. John the Baptist,cathedral,United States of America
Q7588728,St. John's Evangelical Lutheran Church,church,United States of America
Q7590714,St. Michael's Roman Catholic Church,church,United States of America
Q7590816,St. Nicholas Catholic Church,church,United States of America
Q4733243,Alloways Creek Friends Meetinghouse,place of worship,United States of America
Q7199503,Pittsgrove Presbyterian Church,church,United States of America
Q14705767,Mount Bethel Baptist Meetinghouse,church,United States of America
Q7240736,Presbyterian Church at Bound Brook,church,United States of America
Q7240738,Presbyterian Church in Basking Ridge,church,United States of America
Q7307505,Reformed Dutch Church of Blawenburg,church,United States of America
Q7587283,St. Bernard's Church and Parish House,church,United States of America
Q4897726,Bethany Chapel,church,United States of America
Q5453712,First Presbyterian Church of Wantage,church,United States of America
Q5659552,Harmony Hill United Methodist Church,church,United States of America
Q7618042,Stockholm United Methodist Church,church,United States of America
Q5453684,First Presbyterian Church of Elizabeth,church,United States of America
Q5591135,Grace Episcopal Church,church,United States of America
Q7083429,Old Baptist Parsonage,church,United States of America
Q7401811,Saint Mary's Catholic Church Complex,church,United States of America
Q6919716,Mount Bethel Methodist Church,church,United States of America
Q7580725,Spring Valley Christian Church Site,church,United States of America
Q7589783,St. Luke's Episcopal Church,church,United States of America
Q15253254,Methodist Episcopal Church of Burlington,church,United States of America
Q6650507,Little Jerusalem AME Church,church,United States of America
Q6739230,Makefield Meeting,church,United States of America
Q7020746,Newtown Presbyterian Church,church,United States of America
Q7304267,Red Hill Church and School,school,United States of America
Q7587836,St. Elizabeth's Convent,,United States of America
Q8038314,Wrightstown Friends Meeting Complex,church,United States of America
Q5347814,Egg Hill Church,church,United States of America
Q7885528,Union Church and Burial Ground,church,United States of America
Q5453714,First Presbyterian Church of West Chester,church,United States of America
Q7591346,St. Peter's Church in the Great Valley,church,United States of America
Q5023057,Caln Meeting House,museum,United States of America
Q16932905,St. Mary's Episcopal Church,church,United States of America
Q7903811,Uwchlan Meetinghouse,church,United States of America
Q4916697,Birmingham Friends Meetinghouse,church,United States of America
Q4954677,Bradford Friends Meetinghouse,church,United States of America
Q7084315,Old Kennett Meetinghouse,cemetery,United States of America
Q7104489,Orthodox Meetinghouse,church,United States of America
Q7138432,Parkersville Friends Meetinghouse,church,United States of America
Q7589844,St. Malachi Church,church,United States of America
Q5051612,Catawissa Friends Meetinghouse,church,United States of America
Q15228641,Independent Congregational Church,church,United States of America
Q5551092,German Evangelical Zion Lutheran Church,church,United States of America
Q7591401,St. Peter's Kierch,church,United States of America
Q7404232,Salem United Church of Christ,church,United States of America
Q8072543,Zion Lutheran Church and Graveyard,church,United States of America
Q5095999,Chichester Friends Meetinghouse,church,United States of America
Q5158796,Concord Friends Meetinghouse,church,United States of America
Q7281479,Radnor Friends Meetinghouse,church,United States of America
Q5249286,Decker's Chapel,church,United States of America
Q7590814,St. Nicholas Byzantine Catholic Church,church,United States of America
Q7591336,St. Peter's Church,church,United States of America
Q5654343,Harbaugh's Reformed Church,church,United States of America
Q7356017,Rocky Spring Presbyterian Church,church,United States of America
Q7591381,St. Peter's Episcopal Church and Rectory,church,United States of America
Q4975212,Brookville Presbyterian Church and Manse,church,United States of America
Q4855556,Bangor Episcopal Church,church,United States of America
Q5295617,Donegal Presbyterian Church Complex,church,United States of America
Q7310388,Reinholds Station Trinity Chapel,church,United States of America
Q4914033,Bindnagles Evangelical Lutheran Church,church,United States of America
Q7589838,St. Lukes Episcopal Church,church,United States of America
Q7673540,Tabor Reformed Church,church,United States of America
Q5276900,Dillingersville Union School and Church,church,United States of America
Q15223900,High German Evangelical Reformed Church,church,United States of America
Q5472967,Forty Fort Meetinghouse,construction,United States of America
Q6706578,Luzerne Presbyterial Institute,,United States of America
Q7588057,St. Gabriel's Catholic Parish Complex,,United States of America
Q7588993,St. John the Evangelist Roman Catholic Church and School Building,church,United States of America
Q7591702,St. Stanislaus Institute,,United States of America
Q7588484,St. James Episcopal Church,church,United States of America
Q5454044,First Universalist Church of Sharpsville,church,United States of America
Q16904544,Zion Lutheran Church,church,United States of America
Q7084623,Old Norriton Presbyterian Church,church,United States of America
Q7205805,Plymouth Friends Meetinghouse,church,United States of America
Q7591100,St. Paul's Episcopal Church,church,United States of America
Q7415539,Sanatoga Union Sunday School,school,United States of America
Q7122946,Packer Memorial Chapel,church,United States of America
Q7970788,Warrior Run Presbyterian Church,church,United States of America
Q8072559,Zion Stone Church,church,United States of America
Q5453553,First Presbyterian Church,church,United States of America
Q4785328,Arch Street Presbyterian Church,church,United States of America
Q5500021,Free Quaker Meetinghouse,church,United States of America
Q7983837,Wesley AME Zion Church,church,United States of America
Q4928309,Bloomingdale Church,church,United States of America
Q15256502,"Most Precious Blood Roman Catholic Church, Rectory and Parochial School",church,United States of America
Q7588623,"St. John's Church, Philadelphia",church,United States of America
Q5591037,"Grace Church, Mt. Airy",church,United States of America
Q6817201,Mennonite Meetinghouse,church,United States of America
Q7591383,St. Peter's Episcopal Church of Germantown,church,United States of America
Q4857649,Baptist Institute for Christian Workers,church,United States of America
Q7251604,Protestant Episcopal Church of the Saviour,cathedral,United States of America
Q5278243,Dingman's Ferry Dutch Reformed Church,,United States of America
Q4985813,Buffalo Presbyterian Church,church,United States of America
Q7005506,New Berlin Presbyterian Church,church,United States of America
Q4731280,Allegheny Baptist Church,church,United States of America
Q15228827,Irvine United Presbyterian Church,church,United States of America
Q4897851,Bethel African American Episcopal Church of Monongahela City,church,United States of America
Q6864765,Mingo Creek Presbyterian Church and Churchyard,church,United States of America
Q7588253,St. Gertrude Roman Catholic Church,church,United States of America
Q5616612,Guinston United Presbyterian Church,church,United States of America
Q7970730,Warrington Meetinghouse,church,United States of America
Q8055498,York Meetinghouse,church,United States of America
Q7308451,Regina Coeli Monastery,construction,United States of America
Q7590112,St. Mary's Catholic Church,,United States of America
Q7986736,West Union Presbyterian Church,church,United States of America
Q7588593,St. John's Catholic Church,construction,United States of America
Q5160719,Congregational Church Of Austinburg,church,United States of America
Q6917492,Mother of Sorrows Church,construction,United States of America
Q8024658,Windsor Mills Christ Church Episcopal,church,United States of America
Q7589072,St. Joseph's Catholic Church,church,United States of America
Q5453713,First Presbyterian Church of Wapakoneta,church,United States of America
Q5885994,Holy Rosary Catholic Church,church,United States of America
Q7589084,St. Joseph's Catholic Church,construction,United States of America
Q7198278,Pisgah Christian Church,church,United States of America
Q7304682,Red Oak Presbyterian Church,church,United States of America
Q6239085,John Herrington House and Herrington Bethel Church,house,United States of America
Q6406873,Kilgore Union Presbyterian Church,church,United States of America
Q5117001,Church of Our Saviour,church,United States of America
Q6804608,Mechanicsburg Baptist Church,church,United States of America
Q14716737,"Mount Tabor Methodist Episcopal Church (West Liberty, Ohio)",church,United States of America
Q7443055,Second Baptist Church,church,United States of America
Q7590650,St. Michael's Catholic Church,church,United States of America
Q7591017,St. Paul's African Methodist Episcopal Church,church,United States of America
Q6804615,Mechanicsburg United Methodist Church,church,United States of America
Q5603069,Green Plain Monthly Meetinghouse,building,United States of America
Q7588729,St. John's Evangelical Lutheran Church,church,United States of America
Q7589081,St. Joseph's Catholic Church,church,United States of America
Q7784929,Third Presbyterian Church,church,United States of America
Q4897916,Bethel Methodist Church,church,United States of America
Q7131607,Pansy Methodist Church,church,United States of America
Q5383300,Episcopal Church of the Ascension and Manse,church,United States of America
Q6841579,Middle Sandy Presbyterian Church,church,United States of America
Q14716416,"First United Methodist Church (Salem, Ohio)",church,United States of America
Q5068726,Chalfant Church,church,United States of America
Q4976487,Brownella Cottage and Grace Episcopal Church and Rectory,church,United States of America
Q6901203,Monnett Memorial M. E. Chapel,church,United States of America
Q5383293,Episcopal Church of All Saints,church,United States of America
Q5117831,Church of the Covenant,church,United States of America
Q5453269,First Methodist Church,church,United States of America
Q14716457,"Holy Rosary Church (Cleveland, Ohio)",church,United States of America
Q14716760,"North Presbyterian Church (Cleveland, Ohio)",church,United States of America
Q7193926,Pilgrim Congregational Church,church,United States of America
Q7338448,Riverside Cemetery Chapel,church,United States of America
Q7587839,St. Elizabeth's Magyar Roman Catholic Church,church,United States of America
Q7588573,St. John's AME Church,church,United States of America
Q7589119,St. Joseph's Church and Friary,church,United States of America
Q7591097,St. Paul's Episcopal Church,church,United States of America
Q7591790,St. Stephen Church,church,United States of America
Q7496716,Shiloh Baptist Church,church,United States of America
Q7842605,Trinity Cathedral,cathedral,United States of America
Q8072533,Zion Lutheran Church,church,United States of America
Q4879104,Bedford Baptist Church,church,United States of America
Q5452722,First Church of Christ in Euclid,church,United States of America
Q5454041,First Universalist Church of Olmsted,building,United States of America
Q5527109,Gates Mills Methodist Episcopal Church,church,United States of America
Q6016169,Independence Presbyterian Church,church,United States of America
Q7589306,St. Joseph Convent and Academy Complex,historic district in the United States,United States of America
Q7402431,Saints Peter and Paul Roman Catholic Church,church,United States of America
Q5591043,Grace Church,church,United States of America
Q5057632,Celebration Church,church,United States of America
Q5116758,Church at Charlotte,church,United States of America
Q5494074,Frazer United Methodist Church,church,United States of America
Q5108751,Christ Church,church,United States of America
Q5052211,Cathedral Church of Saint Paul,cathedral,United States of America
Q7586796,St. Aloysius of Gonzaga Church,church,United States of America
Q5610549,Grosse Pointe Memorial Church,church,United States of America
Q8072546,Zion Meetinghouse and School,church,United States of America
Q5453577,First Presbyterian Church,church,United States of America
Q7085468,Old Zion Methodist Church,church,United States of America
