wikidata_id,name,instance_of,country
Q865655,Cathedral of Saint John the Divine,cathedral,United States of America
Q489984,Mission San Xavier del Bac,mission,United States of America
Q1824509,Spanish missions in California,church,United States of America
Q617891,Mission San Diego de Alcalá,Spanish missions in California,United States of America
Q2689743,Mission San Carlos Borromeo de Carmelo,mission,United States of America
Q6878709,Mission San Antonio de Padua,,United States of America
Q1939046,Mission San Gabriel Arcángel,mission,United States of America
Q3304442,Mission San Luis Obispo de Tolosa,museum,United States of America
Q1000321,Mission San Francisco de Asís,church,United States of America
Q1939057,Mission San Juan Capistrano,mission,United States of America
Q195381,Mission Santa Clara de Asís,church,United States of America
Q12061890,Mission San Buenaventura,museum,United States of America
Q1413807,Mission Santa Barbara,mission,United States of America
Q6464680,La Purisima Mission,mission,United States of America
Q12061892,Mission Santa Cruz,historic district in the United States,United States of America
Q6878658,Mission Nuestra Señora de la Soledad,museum,United States of America
Q6878722,Mission San José,museum,United States of America
Q6878725,Mission San Juan Bautista,museum,United States of America
Q12061891,Mission San Miguel Arcángel,museum,United States of America
Q6878715,Mission San Fernando Rey de España,church,United States of America
Q6878751,Mission San Luis Rey de Francia,mission,United States of America
Q6878745,Mission Santa Inés,mission,United States of America
Q728990,Mission San Rafael Arcángel,museum,United States of America
Q13560270,Mission San Francisco Solano,mission,United States of America
Q5444431,Fermín Lasuén,human,
Q522107,Junípero Serra,human,
Q24251468,Chumash people,ethnic group,
Q1479279,Tongva people,ethnic group,United States of America
Q755407,Church Creek,town of the United States,United States of America
Q2636724,Alamo Mission in San Antonio,mission,United States of America
Q2748811,Hubert Howe Bancroft,human,
Q367770,Fred Phelps,human,
Q7793575,Thomas Road Baptist Church,church,United States of America
Q668710,Washington National Cathedral,cathedral,United States of America
Q7698720,Temple of Deliverance Church of God in Christ,church,United States of America
Q5052317,Cathedral of Hope,church,United States of America
Q866896,Trinity Church,church,United States of America
Q624556,St. Patrick's Cathedral,cathedral,United States of America
Q954398,Fulton J. Sheen,human,
Q1929613,Pomo people,Indigenous peoples of California,United States of America
Q598406,Ohlone people,ethnic group,United States of America
Q5318224,Dwight Presbyterian Mission,,United States of America
Q2435324,Lakewood Church Central Campus,church,United States of America
Q5052195,Cathedral Basilica of St. Joseph,cathedral,United States of America
Q5024141,Calvary Baptist Church,church,United States of America
Q30547,Mother Teresa,human,
Q7443054,Second Baptist Church,church,United States of America
Q4356655,Saint Thomas Church,church,United States of America
Q1230004,Metropolitan Community Church,religious denomination,United States of America
Q1346863,Ephrata Cloister,monastery,United States of America
Q462363,Helen Hunt Jackson,human,
Q5306327,Dream Center,church,United States of America
Q692942,Westboro Baptist Church,cult,United States of America
Q8342804,"Cathedral Basilica of the Sacred Heart, Newark, New Jersey",cathedral,United States of America
Q1742521,Church of Christ (Temple Lot),organization,
Q5116881,Church of God,church,United States of America
Q805831,El Camino Real,road,United States of America
Q643218,Edmund Szoka,human,
Q1416812,Ford's Theatre,theater,United States of America
Q128058,Cathedral Basilica of Saint Louis,cathedral,United States of America
Q2942378,"Basilica of St. Louis, King of France",church,United States of America
Q1761924,Church of Christ With the Elijah Message,church,United States of America
Q2956755,Rothko Chapel,art museum,United States of America
Q7747750,The Little White Wedding Chapel,,United States of America
Q6817822,Mepkin Abbey,church,United States of America
Q5116878,Church of God,,United States of America
Q5452471,First Baptist Church of Jacksonville,church,United States of America
Q2617023,Church of Our Lord Jesus Christ of the Apostolic Faith,,
Q5020199,California 4th Grade Mission Project,,United States of America
Q7722850,The Church Brew Works,church,United States of America
Q1256820,Coast Miwok,tribe,United States of America
Q5252765,Bay Miwok,ethnic group,United States of America
Q72176,Lakewood Church,church,United States of America
Q5884933,"Holy Ascension Orthodox Church, Albion, Michigan",church,United States of America
Q5117903,Church of the Holy Family in Malibu,church,
Q7960384,Wait Chapel,church,United States of America
Q6917303,Mother Bethel A.M.E. Church,church,United States of America
Q32731,Polish National Catholic Church,Christianity,
Q809106,Barry University,university,United States of America
Q56701,Esselen people,,United States of America
Q2031854,Wappo people,ethnic group,United States of America
Q2886995,"Basilica of St. Francis Xavier, Dyersville",church,United States of America
Q1051217,Crystal Cathedral,cathedral,United States of America
Q5398692,Espada Acequia,,United States of America
Q2820648,New Melleray Abbey,abbey,United States of America
Q892503,Saint Leo University,university,United States of America
Q10381839,The Tabernacle,church,United States of America
Q7414644,"San Juan del Puerto, Florida",,United States of America
Q7397121,Sacred Heart Catholic Church,church,United States of America
Q7589825,St. Luke's United Methodist Church,church,United States of America
Q7591575,St. Raphael's Cathedral,cathedral,United States of America
Q7401808,Saint Mary's Catholic Church,church,United States of America
Q5052335,Cathedral of Our Lady of Peace,cathedral,United States of America
Q12063902,New Utrecht Reformed Church,church,United States of America
Q1321240,Old North Church,church,United States of America
Q5574219,Royal Mausoleum of Hawaii,mausoleum,United States of America
Q6379539,Kawaiahaʻo Church,church,United States of America
Q8047414,Yale Repertory Theatre,theatre company,United States of America
Q1810425,Ste. Anne de Detroit Catholic Church,church,United States of America
Q5052213,"Cathedral Church of Saint Andrew, Honolulu",cathedral,United States of America
Q82387,Basilica of the National Shrine of the Immaculate Conception,architectural structure,United States of America
Q2886917,Our Lady of Sorrows Basilica,minor basilica,United States of America
Q7270572,Queen of All Saints Basilica,church,United States of America
Q1459674,Michael Joseph Curley,human,
Q2942930,"Holy Name Cathedral, Chicago",cathedral,United States of America
Q7588553,St. Joan of Arc Chapel,church,United States of America
Q5137402,Co-Cathedral of Saint Theresa of the Child Jesus,church,United States of America
Q1968407,Basilica of the National Shrine of the Assumption of the Blessed Virgin Mary,cathedral,United States of America
Q547748,Cahuilla people,ethnic group,United States of America
Q72158,Saddleback Church,church,United States of America
Q689679,List of cathedrals in the United States,Wikimedia list article,
Q5052453,Cathedral of the Immaculate Conception,cathedral,United States of America
Q5117973,Church of the Intercession,church,United States of America
Q1700656,John Krol,human,
Q7848031,Truro Church,church,United States of America
Q6878524,Mission Basilica San Juan Capistrano,,United States of America
Q7401574,Saint Joseph the Worker Catholic Church,church,United States of America
Q7401741,Saint Ludmila's Church,church,
Q5352040,El Rito Presbyterian Church,church,United States of America
Q2143064,Kumeyaay people,ethnic group,United States of America
Q5452450,First Baptist Church in America,church,United States of America
Q6663750,Lobo Theater,movie theater,United States of America
Q655014,"Cathedral of Saint Paul, National Shrine of the Apostle Paul",cathedral,United States of America
Q7401986,Saint Patrick's Church,church,United States of America
Q2662729,Times Square Church,church,United States of America
Q7054816,North Christian Church,,United States of America
Q5052456,Cathedral of the Incarnation,cathedral,United States of America
Q7205773,Plymouth Church,church,United States of America
Q373196,"Belmont Abbey, North Carolina",abbey,United States of America
Q5452629,First Christian Church,church,United States of America
Q5452372,First Baptist Church,church,United States of America
Q4664085,Abbey of the Genesee,,United States of America
Q72332,Willow Creek Community Church,church,United States of America
Q7401059,Saint Boniface Church,historic district in the United States,United States of America
Q7401523,Saint Joseph's Prairie Church,,United States of America
Q7589925,"St. Mark's Episcopal Cathedral, Seattle",cathedral,United States of America
Q7588439,St. James Cathedral,cathedral,United States of America
Q4301480,Mount St. Sepulchre Franciscan Monastery,monastery,United States of America
Q7400998,Saint Augustine Church,,United States of America
Q7401985,Saint Patrick's Church,,United States of America
Q701891,James Aloysius Hickey,human,
Q773752,Old South Meeting House,meeting house,United States of America
Q1139853,Park Street Church,church,United States of America
Q1139921,King's Chapel,church,United States of America
Q901259,Trinity Church,church,United States of America
Q7262285,Putiidhem,geographical object,United States of America
Q7404641,Salinan,,United States of America
Q1547699,Stanford Memorial Church,architectural structure,United States of America
Q6829432,Nauvoo Temple,temple,United States of America
Q1136273,Thorncrown Chapel,chapel,United States of America
Q129795,Westminster Hall and Burying Ground,cemetery,United States of America
Q3622310,Francisco Garcés,human,
Q1156586,Riverside Church,church,United States of America
Q1680814,Unity Temple,church,United States of America
Q3815531,Joseph Sadoc Alemany,human,
Q3111397,Judson Memorial Church,church,United States of America
Q4867380,Basilica of St. Hyacinth,church,United States of America
Q4961419,Brent Hawkes,human,
Q5052376,Cathedral of Saint Vibiana,cathedral,United States of America
Q1631067,Cathedral of Our Lady of the Angels,cathedral,United States of America
Q7760035,The Reformed Church of Newtown,church,United States of America
Q45185,Eusebio Kino,human,
Q7738354,The Grotto,shrine,United States of America
Q6016212,Independence Temple,church,United States of America
Q788604,Kirtland Temple,temple,United States of America
Q7407188,Sam Black Church,church,United States of America
Q2942919,Sacred Heart Cathedral,cathedral,United States of America
Q4947741,Boston Avenue Methodist Church,church,United States of America
Q472192,Seán Patrick O'Malley,human,
Q2820305,The Abbey of Our Lady of Gethsemani,church,United States of America
Q3646102,Bruton parish church,church,United States of America
Q6780560,Mary Queen of Heaven,church,United States of America
Q7588772,St. John's Lutheran Church,church,United States of America
Q5302446,Dover,unincorporated community,United States of America
Q5052206,Cathedral Church of All Saints,cathedral,United States of America
Q941763,St. Patrick's Old Cathedral,cathedral,United States of America
Q2323376,St. Thomas University,university,United States of America
Q810079,Basilica of Saint Mary,co-cathedral,United States of America
Q2942483,Cathedral of the Madeleine,cathedral,United States of America
Q4499832,Holy Trinity Cathedral,cathedral,United States of America
Q7639076,Suncreek United Methodist Church,church,United States of America
Q815952,Bellevue Baptist Church,church,United States of America
Q7401739,Saint Lucy Parish,church,United States of America
Q603535,Cathedral of St. Matthew the Apostle,cathedral,United States of America
Q4347013,Cathedral of Saint Mary of the Assumption,cathedral,United States of America
Q6642965,List of the Catholic cathedrals of the United States,Wikimedia list article,
Q7413377,San Antonio de Pala Asistencia,church,United States of America
Q7419983,Santa Ysabel Asistencia,museum,United States of America
Q11688385,Las Flores Estancia,mission,United States of America
Q4743301,American Catholic Church in the United States,Christian denomination,
Q5383288,Episcopal Cathedral of Saint Philip,cathedral,United States of America
Q5108779,Christ Church Cathedral,cathedral,United States of America
Q6293360,José María de Zalvidea,human,
Q167538,St. Louis Cathedral,cathedral,United States of America
Q5268379,Dexter Avenue Baptist Church,church,United States of America
Q7413445,San Bernardino de Sena Estancia,museum,United States of America
Q5614039,Guardian Angel Cathedral,cathedral,United States of America
Q722744,Cathedral of Christ the Light,cathedral,United States of America
Q5052350,Cathedral of Saint Francis de Sales,cathedral,United States of America
Q3023199,Saint Thomas Aquinas Cathedral,cathedral,United States of America
Q940570,Cathedral of the Blessed Sacrament,cathedral,United States of America
Q5052353,Cathedral of Saint Eugene,cathedral,United States of America
Q5052378,Cathedral of Saints Peter and Paul in Saint Thomas,cathedral,United States of America
Q2942881,Cathedral of the Holy Family,cathedral,United States of America
Q5052438,Cathedral of the Holy Family,cathedral,United States of America
Q5052436,Cathedral of the Holy Family in Pago Pago,cathedral,United States of America
Q5052365,Cathedral of Saint Patrick,cathedral,United States of America
Q5052367,Cathedral of Saint Patrick,cathedral,United States of America
Q5052256,Cathedral Parish of Saint Patrick,cathedral,United States of America
Q7590991,St. Patrick Cathedral in Fort Worth,cathedral,United States of America
Q5052366,Cathedral of Saint Patrick,cathedral,United States of America
Q7246576,Pro-Cathedral of Saint Patrick in Newark,cathedral,United States of America
Q546828,William Wakefield Baum,human,
Q7419663,Santa Margarita de Cortona Asistencia,,United States of America
Q5108784,Christ Church Cathedral,cathedral,United States of America
Q4720541,Alexanderwohl Mennonite Church,church,United States of America
Q5108887,Christ Episcopal Church,church,United States of America
Q5052214,"Cathedral Church of St. Paul, Boston",cathedral,United States of America
Q5052217,Cathedral Church of St. Paul,cathedral,United States of America
Q7182854,Philadelphia Yearly Meeting,church,United States of America
Q12053409,John Bowne House,house,United States of America
Q402829,Saint Vladimir's Orthodox Theological Seminary,seminary,United States of America
Q4457185,Cathedral of the Incarnation,cathedral,United States of America
Q5108785,Christ Church Cathedral,cathedral,United States of America
Q1689682,Wayfarers Chapel,architectural structure,United States of America
Q5112143,Christopher Columbus High School,high school,United States of America
Q15979071,James T. McHugh,human,
Q7401006,Saint Augustine by the Sea Catholic Church,church,United States of America
Q7111025,Our Lady of the Mount Catholic Church in Honolulu,church,United States of America
Q7400979,Saint Anthony Catholic Church,church,United States of America
Q15224697,Holy Trinity Catholic Church (Honolulu),church,United States of America
Q7397133,Sacred Heart Catholic Church in Hawi,church,United States of America
Q7401992,"Saint Patrick Catholic Church, Honolulu",church,
Q7400952,Saint Ann Catholic Church in Kaneohe,church,
Q7402221,Saint Theresa Catholic Church in Kekaha,church,
Q7402122,Saint Raphael Catholic Church in Koloa,church,United States of America
Q6004341,Immaculate Conception Catholic Church in Lihue,church,United States of America
Q16962198,Our Lady of Good Counsel Catholic Church,church,United States of America
Q7316553,Resurrection of the Lord Catholic Church in Waipahu,church,United States of America
Q7401545,Saint Joseph Catholic Church in Makawao,church,
Q7401851,Saint Mary Catholic Church in Hana,church,United States of America
Q7590750,St. Michael the Archangel Church,church,United States of America
Q7401543,Saint Joseph Catholic Church in Hilo,church,United States of America
Q7110729,Our Lady Queen of Angels Catholic Church in Kula,church,
Q6761339,Maria Lanakila Catholic Church,church,United States of America
Q2942415,Cathedral of Saint Paul,cathedral,United States of America
Q2942424,Cathedral of Saint Paul,cathedral,United States of America
Q7591231,St. Paul Cathedral,cathedral,United States of America
Q14685991,Jesuit High School (Tampa),high school,United States of America
Q49254,Abyssinian Baptist Church,church,United States of America
Q1225127,DignityUSA,,
Q7397123,Sacred Heart Catholic Church,,
Q7402121,Saint Raphael's Cathedral,cathedral,United States of America
Q5329650,East Waynesville Baptist Church,church,United States of America
Q2942862,Cathedral of the Assumption,cathedral,United States of America
Q2887011,Basilica of St. Joseph Proto-Cathedral,cathedral,United States of America
Q2895577,Architecture of the California missions,,United States of America
Q6875738,Misión Santa María de los Ángeles,,United States of America
Q5452410,First Baptist Church,church,United States of America
Q1680811,Mel White,human,
Q7401806,Saint Mary's Catholic Church,church,United States of America
Q7591758,"St. Stephen's Episcopal Church, Philadelphia",church,United States of America
Q7401784,Saint Martin's Catholic Church,church,United States of America
Q10345766,"Most Holy Redeemer Church, San Francisco",church,United States of America
Q5179001,Covenant Life Church,church,United States of America
Q7011527,New Skete,church,United States of America
Q14687499,First United Methodist Church of Chicago,church,United States of America
Q8017082,William Price Craighill,human,
Q4980835,Bryn Athyn Cathedral,cathedral,United States of America
Q7113721,Overlake Christian Church,church,United States of America
Q5139426,Cochran Memorial United Methodist Church,church,United States of America
Q7402029,Saint Paul-Reformation Lutheran Church,church,United States of America
Q2942868,Cathedral Basilica of the Immaculate Conception,cathedral,United States of America
Q7734092,"The First Church of Christ, Scientist",church,United States of America
Q7894738,University High School,high school,United States of America
Q7355039,Rockefeller Chapel,church,United States of America
Q5130139,Claysville Church,church,United States of America
Q14715203,Harrington Meeting House,meeting house,United States of America
Q16931394,Mount Bethel Church,church,United States of America
Q4867374,"Basilica of Saint Mary of the Immaculate Conception, Norfolk",church,United States of America
Q3082361,"Grace Cathedral, San Francisco",cathedral,United States of America
Q6728377,Madonna Della Strada Chapel,church,United States of America
Q6629903,San Antonio Missions National Historical Park,National Historical Park,United States of America
Q2319561,St. John's Episcopal Church,church,United States of America
Q573459,Anthony O'Connell,human,
Q5531763,General Church of the New Jerusalem,,
Q2820640,Mount Angel Abbey,abbey,United States of America
Q7842752,Trinity Episcopal Church,church,United States of America
Q6544605,LifeChurch.tv,church,
Q7771565,The Unitarian Universalist Church of Charlotte,church,United States of America
Q7440705,Seamen's Bethel,chapel,United States of America
Q7397094,"Sacred Heart, Oklahoma",unincorporated community,United States of America
Q1477930,Salinas Pueblo Missions National Monument,archaeological site,United States of America
Q3895769,Tumacácori National Historical Park,National Historical Park,United States of America
Q6659104,Living Enrichment Center,church,United States of America
Q4898033,Bethlehem Baptist Church,church,United States of America
Q7573424,Spanish missions in Texas,,
Q4775052,Antiochian Catholic Church in America,,
Q4485142,Joseph Fitzmyer,human,
Q5609346,Grimsley High School,high school,United States of America
Q4867364,Basilica of Our Lady of Perpetual Help,church,United States of America
Q2393728,Mission San Francisco de la Espada,mission,United States of America
Q494208,Andrea King,human,
Q6898314,Monastery of Christ in the Desert,,United States of America
Q7401203,Saint Elizabeth of the Hill Country Catholic Church,church,United States of America
Q4689854,African Meeting House,church,United States of America
Q7894180,Universalist Church of West Hartford,church,United States of America
Q2356394,St. Meinrad Archabbey,abbey,United States of America
Q3746061,First Unitarian Church of Rochester,church,United States of America
Q6773134,Mars Hill Bible Church,church,United States of America
Q5082721,Charles Street Meeting House,church,United States of America
Q1059013,Old South Church,church,United States of America
Q2304636,Southeast Christian Church,church,United States of America
Q5052403,Cathedral of St. Joseph,cathedral,United States of America
Q5452396,First Baptist Church,church,United States of America
Q5039783,Carl A. Anderson,human,
Q455504,Chinigchinix,mythical character,United States of America
Q465684,Mother Angelica,human,
Q4411440,Saint Tikhon's Orthodox Theological Seminary,seminary,United States of America
Q3477011,Second Presbyterian Church,church,United States of America
Q7588667,"St. John's Episcopal Church, Lafayette Square",church,United States of America
Q7212319,United First Parish Church,church,United States of America
Q5017466,Cahuilla Band of Mission Indians of the Cahuilla Reservation,ethnic group,United States of America
Q3937267,St. Bartholomew's Episcopal Church,church,United States of America
Q5052314,Cathedral of His Glory,church,United States of America
Q7591636,St. Rose of Lima Catholic Church,church,United States of America
Q4985486,Buenaventura Sitjar,human,
Q7659641,Sycuan Band of the Kumeyaay Nation,ethnic group,United States of America
Q2455970,Troy Perry,human,
Q1718797,Nancy Wilson,human,
Q3585486,Metropolitan Community Church of Toronto,church,Canada
Q2426976,Chapel of the Holy Cross,church,United States of America
Q6825053,Metropolitan Community Church of New York,church,United States of America
Q6825051,Metropolitan Community Church London,,United Kingdom
Q1561856,Saint Herman's Orthodox Theological Seminary,seminary,United States of America
Q2157322,Robert Goss,human,
Q947219,Chris Glaser,human,
Q6171674,Jean White,human,
Q5120463,Cindi Love,human,
Q3538053,Monastery of the Holy Spirit,geographical object,United States of America
Q2956557,Loretto Chapel,chapel,United States of America
Q3090691,Luiseño people,ethnic group,United States of America
Q2712954,Joan Crespí,human,
Q5223840,Darlene Garner,human,
Q4780651,Apostolic Overcoming Holy Church of God,church,United States of America
Q2463876,Angelus Temple,church,United States of America
Q1257154,Cupeño people,ethnic group,United States of America
Q6716291,MIT Chapel,place of worship,United States of America
Q14689016,"Holy Ghost Catholic Church (Dubuque, Iowa)",church,United States of America
Q2585783,Yokuts people,ethnic group,United States of America
Q5052445,Cathedral of the Immaculate Conception,cathedral,United States of America
Q6783628,Mason Temple,church,United States of America
Q5052419,Cathedral of Tomorrow,cathedral,United States of America
Q5453951,First Unitarian Church of Oakland,church,United States of America
Q4877802,Beautiful Savior Lutheran Church,church,United States of America
Q56534,Patwin people,ethnic group,United States of America
Q2885763,Belen Jesuit Preparatory School,high school,United States of America
Q5154822,Community Methodist Church of Ione,church,United States of America
Q6764376,Mariners' Church,church,United States of America
Q5036085,Capon Chapel,church,United States of America
Q4792403,Arlington Street Church,church,United States of America
Q14713645,Episcopal Diocese of Spokane,,United States of America
Q5453960,First Unitarian Society of Madison,,United States of America
Q6971725,National Community Church,church,United States of America
Q7590102,St. Mary's Cathedral,cathedral,United States of America
Q18562170,"Basilica of the Sacred Heart, University of Notre Dame",church,United States of America
Q7392955,"SS. Peter and Paul's Church, Wilmington",church,United States of America
Q7355810,Rocky Hill Meeting House,building,United States of America
Q4867385,Basilica of St. Josaphat,church,United States of America
Q7912267,Valley View Christian Church,church,United States of America
Q717632,Toypurina,human,
Q1028899,Dustin Kensrue,human,
Q4694429,Agua Caliente Band of Cahuilla Indians,ethnic group,United States of America
Q7504062,Shrine of Our Lady of Guadalupe,,
Q2942362,Cathedral of Saint Joseph the Workman,cathedral,United States of America
Q2820693,Saint Leo Abbey,abbey,United States of America
Q5885795,Holy Name Monastery,,United States of America
Q5453982,First United Methodist Church,church,United States of America
Q1134327,Mark Driscoll,human,
Q7590384,St. Mary's Parish,,United States of America
Q15071767,Amherstburg Freedom Museum,museum,Canada
Q7401375,Saint Ignatius Church,church,United States of America
Q1366058,Ukrainian Catholic Archeparchy of Philadelphia,archeparchy,United States of America
Q16773586,List of parishes of the Roman Catholic Diocese of Honolulu,Wikimedia list article,
Q2820663,Abbey of Regina Laudis,abbey,United States of America
Q3966440,Portolà expedition,expedition,United States of America
Q3859282,Spanish missions in the Sonoran Desert,geographical object,
Q7573417,Spanish missions in Arizona,,
Q12069742,Spanish missions in New Mexico,,
Q4352333,Gloria Dei (Old Swedes') Church,protected area,United States of America
Q6878656,Mission Nuestra Señora de la Asunción de Zia,,
Q7592038,St. Vasilios Church,church,United States of America
Q7413222,San Agustín de la Isleta Mission,church,United States of America
Q6985395,Necedah Shrine,,United States of America
Q7587166,St. Augustine Cathedral,cathedral,United States of America
Q5172654,Corpus Christi Monastery,,United States of America
Q2820748,St. Andrew's Abbey,abbey,United States of America
Q1597350,Old West Church,church,United States of America
Q7110998,Our Lady of the Angels Pastoral Region,,
Q7413876,San Fernando Pastoral Region,,
Q7414209,San Gabriel Pastoral Region,,
Q7415123,San Pedro Pastoral Region,,
Q7419239,Santa Barbara Pastoral Region,,
Q6878724,Mission San José de Tumacácori,,United States of America
Q6916560,Moss Hill Church,church,United States of America
Q6825052,Metropolitan Community Church of Edinburgh,church,United Kingdom
Q5885826,Holy Name of Jesus Roman Catholic Church,church,United States of America
Q5052323,Cathedral of Mary Our Queen,cathedral,United States of America
Q1363825,Saint Vincent Archabbey,abbey,United States of America
Q7590466,St. Mary Cathedral,cathedral,United States of America
Q2617682,San Felipe de Neri Church,church,United States of America
Q4745901,Amesbury Friends Meeting House,church,United States of America
Q5442511,Fellowship Church,church,United States of America
Q1530834,Rembert S. Truluck,human,
Q6878730,Mission San José,archaeological site,United States of America
Q6422684,Knob Creek Church of Christ,,United States of America
Q2942308,Cathedral of Saint Augustine,cathedral,United States of America
Q7148013,Patriot Guard Riders,organization,United States of America
Q16254393,New Bethel Presbyterian Church,church,United States of America
Q6300479,Juan María de Salvatierra,human,
Q7242061,Prestonwood Baptist Church,church,United States of America
Q7970674,Warrenton Presbyterian Church,church,United States of America
Q7641116,Sunrise Presbyterian Church,church,United States of America
Q6301826,Jubilee Christian Church,church,United States of America
Q872544,Diocese of Monterey,diocese,
Q2374073,Sylvester Donovan Ryan,human,
Q6540594,"Liberal Catholic Church, Province of the United States of America",,
Q7829968,Town Hall Seattle,construction,United States of America
Q2820730,Subiaco Abbey and Academy,abbey,United States of America
Q5646038,Hampshire Colony Congregational Church,,United States of America
Q6841768,Middlebush Reformed Church,church,United States of America
Q7166053,Peoples Church,,United States of America
Q7591631,St. Rose Priory,church,United States of America
Q2942363,St. Joseph Cathedral in Buffalo,cathedral,United States of America
Q7591697,St. Stanislaus Catholic Church,church,United States of America
Q7591712,St. Stanislaus Kostka Church,church,United States of America
Q5052192,Cathedral Basilica of Saints Peter and Paul,cathedral,United States of America
Q5483720,Francisco Mora y Borrell,human,
Q5052379,Cathedral of Saints Simon and Jude,cathedral,United States of America
Q4803833,Ascension Greek Orthodox Cathedral of Oakland,cathedral,United States of America
Q5353682,Elbe Evangelical Lutheran Church,church,United States of America
Q5052205,"Cathedral Center of St. Paul, Los Angeles",cathedral,United States of America
Q542498,Ave Maria University,university,United States of America
Q5700795,Heinz Memorial Chapel,church,United States of America
Q7708963,Thaddeus Amat y Brusi,human,
Q14693383,"St. Mary Basilica, Natchez",church,United States of America
Q6967577,Nassau Presbyterian Church,church,United States of America
Q2942873,Cathedral Basilica of the Immaculate Conception,cathedral,United States of America
Q5290894,"Dominicans of the Monastery of the Heart of Jesus – Lockport, Louisiana",,
Q7231319,Porta Coeli,,United States of America
Q3403067,Weston Priory,abbey,United States of America
Q7240734,"Presbyterian Church Cemetery, Morristown",cemetery,United States of America
Q5453745,"First Reformed Dutch Church, Somerville",cemetery,United States of America
Q5052216,Cathedral Church of the Advent,cathedral,United States of America
Q5886014,Holy Rosary Church,church,United States of America
Q7193921,Pilgrim Baptist Church,church,United States of America
Q7588987,St. John the Evangelist Catholic Church,church,United States of America
Q6922173,Mount Michael Benedictine Abbey and High School,high school,United States of America
Q7449517,Seminole Heights United Methodist Church,church,United States of America
Q7605169,Ste Anne des Lacs,,United States of America
Q1670321,St. George Utah Temple,temple,United States of America
Q5526241,Garywood Assembly of God,church,United States of America
Q5108750,Christ Church,church,United States of America
Q7588769,St. John's Lutheran Church,church,United States of America
Q1752321,Logan Utah Temple,temple,United States of America
Q1549220,Manti Utah Temple,temple,United States of America
Q6417841,Kitanemuk,valley,United States of America
Q7681703,Tampa Catholic High School,high school,United States of America
Q8020994,Williams Chapel,church,United States of America
Q7756666,The Peoples Church of East Lansing,church,United States of America
Q7401755,Saint Malachy's Roman Catholic Church,church,United States of America
Q4272325,Trinity Evangelical Lutheran Church,church,United States of America
Q5453240,First Lutheran Church of Venice,church,United States of America
Q4926267,Blessed John XXIII Catholic Church,church,
Q16955293,Nativity Catholic Church,church,United States of America
Q7591116,St. Paul's Episcopal Church,church,United States of America
Q4819331,Auburn University Chapel,church,United States of America
Q5331715,Ebenezer Missionary Baptist Church,church,United States of America
Q5453610,First Presbyterian Church,church,United States of America
Q6052066,International Mother's Day Shrine,church,United States of America
Q7401092,Saint Cecilia's Catholic Church,church,United States of America
Q5383371,Episcopal Diocese of Eau Claire,,
Q5383374,Episcopal Diocese of Fond du Lac,diocese,
Q5383396,Episcopal Diocese of Milwaukee,,United States of America
Q2370207,Lee Chapel,church,United States of America
Q7892259,United States Vice Presidential Museum,church,United States of America
Q7587994,Saint Francis de Sales Seminary,Catholic seminary,United States of America
Q5638866,Hahamog'na,unincorporated community,United States of America
Q2942432,St. Peter Cathedral,cathedral,United States of America
Q8035798,World Harvest Church,church,United States of America
Q4411441,Holy Trinity Orthodox Seminary,seminary,United States of America
Q6978433,National Shrine of Our Lady of the Snows,,United States of America
Q7232425,Portsmouth Abbey,,
Q7402193,Saint Stephen Evangelical Lutheran Church of Milwaukee,church,United States of America
Q1432607,Cathedral Santuario de Guadalupe,cathedral,United States of America
Q7401269,Saint Francis Seraph Church,church,United States of America
Q5108776,Christ Church Cathedral,cathedral,United States of America
Q1361058,Kirk in the Hills,church,United States of America
Q7591086,St. Paul's Cathedral,cathedral,United States of America
Q14476208,Suisun people,,United States of America
Q1775885,St. Bernard de Clairvaux Church,church,United States of America
Q5452480,First Baptist Church of Springdale,church,United States of America
Q875732,Roman Catholic Diocese of San Diego,diocese of the Catholic Church,
Q6924784,Mount Zion First Baptist Church,church,United States of America
Q4975213,Brookville Reformed Church,church,United States of America
Q1365030,Roman Catholic Archdiocese of Miami,archdiocese,United States of America
Q1373337,John Carberry,human,
Q5072982,Chapel + Cultural Center at Rensselaer,church,United States of America
Q7491540,Shawnee Methodist Mission,church,United States of America
Q431339,"Church of the Transfiguration, Episcopal",church,United States of America
Q197238,16th Street Baptist Church,church,United States of America
Q5453739,"First Reformed Church, New Brunswick, New Jersey",cemetery,United States of America
Q5108703,"Christ Church, New Brunswick, New Jersey",church,United States of America
Q5383417,Episcopal Diocese of Olympia,,United States of America
Q2947996,Chalon people,isolated human group,United States of America
Q7413985,San Francisco County Parishes,church,United States of America
Q14682309,Holy Name of Jesus Church in San Francisco,church,United States of America
Q7587034,St. Anne of the Sunset Church in San Francisco,church,United States of America
Q7587357,St. Brendan Church in San Francisco,church,United States of America
Q5352121,El Santuario de Chimayo,church,United States of America
Q7587474,St. Cecilia Church in San Francisco,church,United States of America
Q3663700,Cathedral Basilica of St. Francis of Assisi,cathedral,United States of America
Q2820352,Saint Anselm's Abbey,abbey,United States of America
Q7978396,Weavertown Amish Mennonite Church,,United States of America
Q1985568,San Miguel Mission,mission,United States of America
Q2942358,Cathedral of St. John the Baptist,cathedral,United States of America
Q5707189,Hellenic College and Holy Cross Greek Orthodox School of Theology,seminary,United States of America
Q5052209,Cathedral Church of Saint Matthew,cathedral,United States of America
